product_id,price,name
1,24.99,1_Second_Slicer
2,92.85,10-Minute_Trainer_From_Tony_Horton
3,74.85,21_Day_Fix_Extreme
4,72.82,21_Day_Fix_Fitness_and_Weight_Loss_Program
5,99.79,22_Minute_Hard_Corps_Workout
6,14.95,3_Minute_Legs
7,72.82,3_Week_Yoga_Retreat_–_Now_on_DVD
8,14.95,30_Second_Smile
9,19.99,35_Below_Compression_Socks_–_Compression_&_Warming_Socks
10,19.99,35_Below_Socks
11,149.99,5_Mins_Shaper_Pro
12,10.99,5_Second_Fix
13,19.99,6_Week_Body_Makeover
14,161.94,60s_Music_Revolution_9_CD_Box_Set
15,14.95,Ab_Circle_Pro
16,299.99,Ab_Coaster
17,143.49,Ab_Doer_Twist
18,89.99,Ab_Flyer
19,149.99,Ab_Glider
20,14.95,Ab_Rocket_Twister
21,14.95,Ab_Rocket
22,99.99,Ab_Transform
23,9.99,Aero_Knife
24,19.95,Ageless_Male
25,59.99,Ahh_Bra
26,99.99,Air_Climber
27,69.42,Alli
28,10.99,Aluma_Wallet
29,9.95,Always_Fresh_Containers
30,14.95,Aqua_Globes
31,19.99,Awesome_Auger
32,39.95,BackBridge
33,39.95,BackJoy_Core
34,19.99,Bake_Pops
35,22.99,Ball_Pets_Plush_Toys
36,14.69,Balloon_Bonanza
37,9.99,Bare_Lifts
38,3.99,BarkOff
39,7.98,Battle_Balloons_Color_Burst
40,14.99,Battle_Visor_–_Perfect_vision_for_driving
41,19.99,BattleVision_HD_Polarized_Sunglasses
42,19.99,Bavarian_Edge_Knife_Sharpener
43,155.99,Beachbody_On_Demand
44,56.96,Beachbody_Performance_Premium_Workout_Supplements
45,19.99,BeActive_Back_Pain_Brace
46,439.66,Beamz_by_Flo_Rida
47,19.95,Bed_Renu_Custom_Sleep_Support_System
48,19.99,BeDazzler
49,34.49,Bedtime_Buddies_Stuffed_Animals
50,19.99,Bendaroos
51,12.99,Bender_Ball
52,19.85,Best_of_the_Ed_Sullivan_Show_DVD_Collection
53,99.95,Best_of_the_Tonight_Show_Starring_Johnny_Carson_DVD_Box_Set
54,89.95,Better_Bladder_Supplement
55,16.99,Better_Brella_–_The_New_Improved_Umbrella
56,4.99,Better_Strainer
57,49.99,Big_Boss_Blender
58,59.99,Big_Boss_Grill
59,53.85,Big_Boss_InstaMop
60,149.99,Big_Boss_Rapid_Wave_Oven
61,19.99,Big_City_Slider_Station
62,19.95,Big_Top_Cupcake
63,19.99,Big_Top_Donut
64,99.95,Bill_Gaithers_Homecoming_Hymns_Collection_from_Time_Life
65,19.99,Billy_Blanks_PT_24/7
66,69.99,BioEnergiser_Detox_Spa_System
67,33.32,BioEnergiser
68,29.99,Bit_360_Screwdriver
69,179.99,BladeRunner
70,19.95,BlanKid_Buddy
71,125.95,Blood_Type_Workout
72,19.99,Blue_Diamond_Enhanced_Ceramic_Non-Stick_Pan
73,9.99,Blueberry_Giant
74,29.99,Body_Back_Buddy
75,49.85,Body_Beast_DVD_Workout
76,99.95,Body_Gospel
77,29.99,Body_Revolution
78,19.99,Boom_Cube
79,9.99,Bottle_Tops
80,999.99,Bowflex_MAX_Trainer_Cardio_Machine_M3/M5/M7
81,2499.99,Bowflex_TreadClimber
82,12.89,Bowl_Light
83,14.99,Brainetics
84,145.58,BrainPill
85,92.75,Brazil_Butt_Lift
86,29.99,Brez_Anti-Snoring_Breathing_Aid
87,14.99,Brez_Snoring_Relief
88,25.99,Bright_Light_Pillow
89,8.77,Bright_Time_Buddies
90,13.28,Broda_Acne_Treatment
91,9.95,Buffalo_Tribute_Proof
92,19.95,Bug_Band
93,12.99,Bullseye_Pee_Pads
94,9.99,Bumpits
95,199.99,Butterball_Indoor_Electric_Turkey_Fryer
96,159.96,Butterball_Turkey_Fryer
97,39.99,Butterfly_Abs
98,9.99,Buxton_Cell_Phone_Wallet
99,10.99,Cafe_Cup
100,9.99,Callous_Clear
101,9.99,Cami_Secret
102,15.95,Canada_Green_Grass
103,19.99,Cats_Meow_Toy
104,39.95,Chalean_Extreme
105,9.95,Chamonix_Skin_Care
106,14.99,Chef_Basket
107,19.99,Chic_Shaper
108,19.95,Chop_Magic
109,9.99,Cleavage_Clip
110,19.95,College_Snuggie
111,29.95,Comfortisse_Bra
112,10.99,Comfy_Control_Harness
113,14.95,Contour_Abs
114,39.99,CovFurs
115,9.99,Crazy_Critters
116,14.99,Criss_Angel_Magic_Kit
117,19.99,CuddleUppets
118,19.95,Curvassure
119,39.95,Curve_Control_Jeans
120,14.99,DashCam_Pro
121,99.99,Dean_Martin_Celebrity_Roasts_Complete_DVD_Collection
122,35.99,Dean_Martin_Ultimate_DVD_Collection
123,9.99,Depil_Silk
124,144.99,Derm_Exclusive_Anti-Aging_Skin_Care
125,39.95,Derm_Exclusive
126,36.99,Derma_Seta
127,15.99,Dermasolve_Psoriasis_Treatment
128,19.99,DermaSuction_Blackhead_Remover
129,19.95,Designer_Snuggie
130,14.99,Detail_Doctor
131,19.99,Dial_Vision_Adjustable_Eyeglasses
132,42.02,Dial-a-Smile_Professional_Home_Teeth_Whitening_System
133,14.95,Diamond_Radiance
134,19.99,Diamond_Z4_Ring
135,110.11,DirecTV_Special_Offer
136,16.99,Disney_Gyro_Bowl
137,29.95,Diva_Dangler
138,19.95,Dog_E-Minder
139,199.96,Dr._Hos_Decompression_Back_Belt
140,14.99,DrainWig_Hair_Catcher_Prevents_Clogs
141,19.99,Dream_Lash
142,19.99,Dream_Look
143,11.73,Dreamie
144,32.85,Dunstan_Baby_Language_System
145,17.99,DuraWallet
146,19.95,Dust_Daddy_Vacuum_Cleaner_Attachment
147,13.99,Dutch_Glow_Amish_Cleaning_Tonic
148,17.26,Dutch_Glow_Amish_Wood_Milk
149,29.95,Eagle_Eyes
150,9.99,Easy_Curves
151,14.99,Easy_Feet
152,9.99,Easy_Reach
153,9.99,Edge_Of_Glory
154,9.99,Eggies
155,19.99,ElimiTag
156,19.95,Emery_Cat
157,9.99,Epi_Smooth
158,14.95,EvoraPet
159,59.95,Extenze
160,9.99,Ez_Combs
161,14.95,EZ_Eyes_Keyboard
162,69.95,EZ_Smoker
163,19.99,Fab_Effex
164,19.95,FabriClear_Bed_Bug_Spray
165,149.99,FaceFX_Anti-Wrinkle_Beauty_System
166,29.95,Faces_Beautiful
167,149.95,Faith_Hope_and_Country_10_CD_Collection_from_Time_Life
168,9.99,Fast_Brite_Headlight_Lens_Restore
169,302.31,Fein_MultiMaster
170,19.99,Finishing_Touch_Flawless_Facial_Hair_Remover
171,19.99,Finishing_Touch_Flawless
172,4.99,Finishing_Touch_Smile_Whitening_Pen
173,9.99,Finishing_Touch_Smile
174,14.95,Firma_Face_XR
175,19.95,Fit_Kids_Club
176,19.95,Fix_It_Scratch_Remover
177,10.95,Fix_It!_For_Wood
178,13.43,Fix_It!_Pro
179,227.39,Flash_&_Go_Light_Pulse_Hair_Removal_Device
180,25.99,Flashlight_Friends
181,79.98,FlavorWave_Oven_Turbo
182,19.99,Flawless_Brows_by_Finishing_Touch
183,29.99,Flawless_Legs_from_Finishing_Touch
184,199.99,Flex_Belt
185,19.99,Flex_Seal_Liquid_–_Rubber_in_a_Can
186,19.99,Flex_Shaper
187,19.99,Flex_Shot_Thick_Rubber_Adhesive_Sealant
188,19.99,Flex_Tape
189,32.88,Flexzilla_–_Lightweight_Flexible_and_Durable_Garden_Hose
190,55.55,Flip_Jack_Pancake_Pan_by_Orgreenic
191,19.95,Flip-Up_Tac_Glasses
192,14.95,Flippin_Fantastic_Pancake_Maker
193,19.99,Flirty_Girl_Fitness
194,18.99,Focus_Factor
195,72.82,Focus_T25_Workout_DVDs_From_Beachbody_and_Shaun_T
196,39.95,Focus_T25
197,58.99,Food_Lovers_Fat_Loss_System
198,19.95,Forearm_Forklift
199,94.99,Forever_Back
200,46.46,Forever_Comfy_Gel_and_Foam_Combination_Cushion
201,39.99,Forever_Lazy_Full_Body_Lounge_Wear
202,29.95,Forever_Lazy
203,53.31,Four_Seasons_4-in-1_Heater_Air_Purifier_Fan_&_Humidifier
204,19.99,Fridge_Locker
205,16.99,Fridge_Mate_Snap_On_Drawer
206,29.99,Fuel_Shark
207,19.99,Fun_Foil_Art
208,9.99,Furniture_Feet
209,32.99,Furniture_Fix
210,18.99,Fushigi_Magic_Gravity_Ball
211,19.99,Futzuki_Reflexology_Foot_Mat
212,19.99,Fuzzoodles
213,33.33,Garden_Groom
214,49.95,Garry_Vacuum
215,59.95,Gem_Keep_It_Cool
216,49.95,GeneSphere
217,59.99,Genie_Bra
218,19.95,Get_A_Grip
219,9.99,Ghost_Pepper
220,34.95,GlassyLite
221,19.99,Glow_Crazy
222,19.95,GoGo_Pillow
223,49.99,Golds_Gym_5_in_1
224,9.99,Grater_Plater
225,19.99,Great_Hair_Day
226,14.95,Greenworks_Mower
227,14.99,Grill_Daddy
228,10.82,Grill_Glove
229,14.95,GripGo_Phone_Mount
230,9.99,Grout_Bully
231,14.99,Gyro_Bowl
232,99.99,H2O_Mop_X5
233,39.95,H2O_Vac_Turbo
234,219.99,Haan_Multiforce_Pro_Steam_Cleaner
235,14.95,HAAN_Multiforce_Pro
236,9.99,Hair_Doctor
237,42.02,Hair_Illusion_Instant_Hair_Loss_Solution
238,19.99,Half_Time_Drill_Driver
239,33.33,Halo_Oven
240,27.99,Hamper_Hoops_Basketball_Hoop_and_Hamper_by_Wham-O
241,9.99,Hang_A_Bunch_6-in-1_Hanger
242,9.99,Hang_A_Bunch
243,14.95,Hanging_Strawberry_Garden
244,21.99,Happy_Nappers_Play_Pillow
245,9.99,HD_Aviators
246,14.99,HD_Free_TV_Digital_Antenna
247,14.99,HD_Vision_Foldaways
248,14.95,HD_Vision_Readers_with_Built-in_Bifocals
249,19.99,HD_Vision_Readers
250,19.99,HD_Vision_Special_Ops_Sunglasses
251,24.99,HD_Vision_Ultras_Sunglasses
252,19.99,HD_Vision_Visor
253,19.99,HD_Vision_Wrap_Arounds
254,49.99,HealthMaster
255,59.95,Heart_Factors_Plus
256,149.95,Heart_of_Classic_Rock_CD_Collection_from_Time_Life
257,174.99,Heat_Surge_Mini_Glo_Electric_Fireplace_Heater
258,149.99,Heat_Surge_Mini_Glo
259,349.99,Heat_Surge
260,99.95,Hee_Haw_DVD_Collection
261,9.99,Heel_Dock
262,9.99,Heel_Tastic
263,19.99,Hex_Light
264,25.24,HideAway_Pets
265,19.95,Hip_Hop_Abs
266,7.99,Hollywood_Nails
267,57.64,Hooked_on_Phonics
268,21.75,Hot_Booties
269,9.99,Hot_Buns_Hair_Accessories
270,19.99,Hot_Huez_Chalk_Hair_Color
271,9.99,Hover_Ball
272,12.35,Hug_Light
273,29.99,Huggle_Hoodie_Oversized_Reversible_Hooded_Sweatshirt
274,9.99,Hummingbird_Vine
275,99.95,Hurricane_Canless_Air_System
276,19.99,Hurricane_Fur_Wizard
277,14.99,Hurricane_Lint_Lizard
278,19.99,Hurricane_Mop
279,39.99,Hurricane_Spin_Scrubber
280,29.95,HydraLight_Water_Powered_Flashlight
281,20.99,Hydro_Mousse_Liquid_Lawn
282,45.52,Hydroxatone
283,279.99,iHeater
284,39.95,In_An_Instant_Heidi_Klum
285,9.99,Indoor_Banana_Tree
286,39.95,Insanity
287,29.95,Instant_Fisherman
288,19.99,Instant_Zipper
289,14.99,InStyler
290,9.99,InVinceable
291,29.95,Ionic_Pro_Turbo
292,4.99,iRenew_Bracelet
293,19.99,iRenew_Sport
294,19.99,Iron_Gym
295,29.99,ISO7X
296,1499.99,Jack_La_Lanne_Power_Juicer
297,10.37,Jeaneez_Denim-look_Leggings
298,79.99,Jillian_Michaels_Body_Revolution
299,99.99,Jitterbug_Easy_to_Use_Senior_Cell_Phone
300,39.95,JNL_Fusion
